Company Name,Fail Action,Stem Dia,Yoke Boss,Ac Size,Area,Travel,min,max,spring rate
sd,AFC,0.375,2.125,30,46,0.75,6,30,1470
sd,AFC,0.375,2.125,30,46,0.75,10,30,1260
sd,AFC,0.375,2.125,30,46,0.75,14,30,1000
sd,AFC,0.375,2.125,30,46,0.75,16,30,830
sd,AFC,0.375,2.125,34,69,0.75,6,30,2210
sd,AFC,0.375,2.125,34,69,0.75,10,30,1840
sd,AFC,0.375,2.125,34,69,0.75,14,30,1470
sd,AFC,0.375,2.125,34,69,0.75,16,30,1327
sd,AFC,0.375,2.125,34,69,0.75,17,30,1230
sd,AFC,0.375,2.125,34,69,0.75,18,30,1100
sd,AFC,0.375,2.125,34,69,1.125,6,30,2210
sd,AFC,0.375,2.125,34,69,1.125,8,30,1840
sd,AFC,0.375,2.125,34,69,1.125,10,30,1470
sd,AFC,0.375,2.125,34,69,1.125,12,30,1327
sd,AFC,0.5,2.825,40,69,0.75,6,30,1230
sd,AFC,0.5,2.825,40,69,0.75,10,30,1100
sd,AFC,0.5,2.825,40,69,0.75,14,30,1470
sd,AFC,0.5,2.825,40,69,0.75,16,30,1327
sd,AFC,0.5,2.825,40,69,0.75,17,30,1230
sd,AFC,0.5,2.825,40,69,0.75,18,30,1100
sd,AFC,0.5,2.825,40,69,1.125,6,30,1470
sd,AFC,0.5,2.825,40,69,1.125,8,30,1327
sd,AFC,0.5,2.825,40,69,1.125,10,30,1230
sd,AFC,0.5,2.825,40,69,1.125,12,30,1100
sd,AFC,0.5,2.825,40,69,1.125,12,30,1100
sd,AFC,0.5,2.825,40,69,1.5,6,30,1470
sd,AFC,0.5,2.825,45,105,0.75,6,30,3320
sd,AFC,0.5,2.825,45,105,0.75,10,30,2770
sd,AFC,0.5,2.825,45,105,0.75,12,30,2500
sd,AFC,0.5,2.825,45,105,0.75,14,30,2240
sd,AFC,0.5,2.825,45,105,0.75,16,30,2080
sd,AFC,0.5,2.825,45,105,0.75,17,30,1870
sd,AFC,0.5,2.825,45,105,0.75,18,30,1670
sd,AFC,0.5,2.825,45,105,0.75,19,30,1560
sd,AFC,0.5,2.825,45,105,0.75,20,30,1400
sd,AFC,0.5,2.825,45,105,0.75,21,30,1260
sd,AFC,0.5,2.825,45,105,0.75,22,30,1120
sd,AFC,0.5,2.825,45,105,1.125,6,30,2240
sd,AFC,0.5,2.825,45,105,1.125,8,30,2080
sd,AFC,0.5,2.825,45,105,1.125,10,30,1870
sd,AFC,0.5,2.825,45,105,1.125,12,30,1670
sd,AFC,0.5,2.825,45,105,1.125,14,30,1560
sd,AFC,0.5,2.825,45,105,1.125,15,30,1400
sd,AFC,0.5,2.825,45,105,1.125,17,30,1260
sd,AFC,0.5,2.825,45,105,1.125,18,30,1120
sd,AFC,0.5,2.825,45,105,1.125,19,30,1050
sd,AFC,0.5,2.825,45,105,1.5,6,30,1670
sd,AFC,0.5,2.825,45,105,1.5,8,30,1560
sd,AFC,0.5,2.825,45,105,1.5,10,30,1400
sd,AFC,0.5,2.825,45,105,1.5,12,30,1260
sd,AFC,0.5,2.825,45,105,1.5,14,30,1120
sd,AFC,0.5,2.825,45,105,1.5,16,30,1050
sd,AFC,0.5,2.825,45,105,2,6,30,1260
sd,AFC,0.5,2.825,45,105,2,9,30,1120
sd,AFC,0.5,2.825,45,105,2,10,30,1050
sd,AFC,0.5,2.825,46,156,0.75,6,30,5000
sd,AFC,0.5,2.825,46,156,0.75,10,30,4160
sd,AFC,0.5,2.825,46,156,0.75,14,30,3320
sd,AFC,0.5,2.825,46,156,0.75,17,30,2770
sd,AFC,0.5,2.825,46,156,0.75,18,30,2500
sd,AFC,0.5,2.825,46,156,0.75,20,30,2080
sd,AFC,0.5,2.825,46,156,0.75,21,30,1870
sd,AFC,0.5,2.825,46,156,1.125,6,30,3320
sd,AFC,0.5,2.825,46,156,1.125,10,30,2770
sd,AFC,0.5,2.825,46,156,1.125,12,30,2500
sd,AFC,0.5,2.825,46,156,1.125,15,30,2080
sd,AFC,0.5,2.825,46,156,1.125,17,30,1870
sd,AFC,0.5,2.825,46,156,1.5,6,30,2500
sd,AFC,0.5,2.825,46,156,1.5,10,30,2080
sd,AFC,0.5,2.825,46,156,1.5,12,30,1870
sd,AFC,0.5,2.825,46,156,2,6,30,1870
sd,AFC,0.75,3.5625,50,105,0.75,6,30,3320
sd,AFC,0.75,3.5625,50,105,0.75,10,30,2770
sd,AFC,0.75,3.5625,50,105,0.75,12,30,2500
sd,AFC,0.75,3.5625,50,105,0.75,14,30,2240
sd,AFC,0.75,3.5625,50,105,0.75,16,30,2020
sd,AFC,0.75,3.5625,50,105,0.75,17,30,1870
sd,AFC,0.75,3.5625,50,105,0.75,18,30,1670
sd,AFC,0.75,3.5625,50,105,0.75,19,30,1560
sd,AFC,0.75,3.5625,50,105,0.75,20,30,1400
sd,AFC,0.75,3.5625,50,105,0.75,21,30,1260
sd,AFC,0.75,3.5625,50,105,0.75,22,30,1120
sd,AFC,0.75,3.5625,50,105,1.125,6,30,2240
sd,AFC,0.75,3.5625,50,105,1.125,8,30,2020
sd,AFC,0.75,3.5625,50,105,1.125,10,30,1870
