P_ID,P_ID2,Valve Size,Co-efficients,10,20,30,40,50,60,70,80,90,100
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#1.5#0.75#0.75,1.5,FL,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#1.5#0.75#0.75,1.5,Xt,0.747,0.625,0.636,0.596,0.578,0.603,0.593,0.591,0.68,0.796
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#1.5#0.75#0.75,1.5,Fd,0.09,0.1,0.13,0.16,0.19,0.24,0.29,0.38,0.47,0.53
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#1.5#0.75#1,1.5,Cv,0.77,1.23,1.78,2.58,3.67,5.54,8.3,12,15.1,17.3
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#1.5#0.75#1,1.5,FL,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#1.5#0.75#1,1.5,Xt,0.654,0.619,0.601,0.605,0.561,0.534,0.518,0.575,0.704,0.861
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#1.5#0.75#1,1.5,Fd,0.09,0.11,0.13,0.16,0.18,0.24,0.3,0.36,0.43,0.51
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#1.5#0.75#1.5,1.5,Cv,0.795,1.23,1.91,2.95,4.3,6.46,9.84,16.4,22.2,28.1
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#1.5#0.75#1.5,1.5,FL,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#1.5#0.75#1.5,1.5,Xt,0.726,0.676,0.733,0.645,0.589,0.558,0.597,0.653,0.777,0.84
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#1.5#0.75#1.5,1.5,Fd,0.08,0.08,0.1,0.12,0.14,0.17,0.21,0.27,0.34,0.4
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#2#0.75#0.25,2,Cv,0.088,0.124,0.175,0.236,0.327,0.464,0.641,0.881,1.22,1.52
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#2#0.75#0.25,2,FL,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#2#0.75#0.25,2,Xt,0.771,0.717,0.658,0.645,0.62,0.585,0.596,0.596,0.603,0.647
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#2#0.75#0.25,2,Fd,0.1,0.12,0.15,0.18,0.22,0.26,0.32,0.4,0.54,0.72
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#2#0.75#0.375,2,Cv,0.121,0.19,0.302,0.435,0.6,0.864,1.26,1.8,2.56,3.2
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#2#0.75#0.375,2,FL,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#2#0.75#0.375,2,Xt,0.915,0.763,0.699,0.657,0.64,0.624,0.608,0.596,0.594,0.648
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#2#0.75#0.375,2,Fd,0.1,0.12,0.15,0.18,0.21,0.26,0.32,0.4,0.52,0.7
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#2#0.75#0.5,2,Cv,0.199,0.323,0.503,0.735,1.07,1.54,2.14,3.08,4.36,5.18
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#2#0.75#0.5,2,FL,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#2#0.75#0.5,2,Xt,0.748,0.686,0.64,0.617,0.627,0.602,0.607,0.607,0.573,0.705
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#2#0.75#0.5,2,Fd,0.1,0.12,0.15,0.17,0.21,0.25,0.31,0.39,0.49,0.59
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#2#0.75#0.75,2,Cv,0.434,0.683,1,1.49,2.21,3.18,4.61,6.73,8.88,10.2
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#2#0.75#0.75,2,FL,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#2#0.75#0.75,2,Xt,0.747,0.625,0.636,0.596,0.578,0.603,0.593,0.591,0.68,0.796
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#2#0.75#0.75,2,Fd,0.09,0.1,0.13,0.16,0.19,0.24,0.29,0.38,0.47,0.53
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#2#0.75#1,2,Cv,1.02,1.5,2.05,2.78,3.9,5.57,8.16,11.8,14.5,15.9
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#2#0.75#1,2,FL,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#2#0.75#1,2,Xt,0.596,0.616,0.6,0.58,0.572,0.555,0.523,0.547,0.671,0.905
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#2#0.75#1,2,Fd,0.09,0.11,0.13,0.16,0.18,0.24,0.3,0.36,0.43,0.51
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#2#1.125#2,2,Cv,1.65,2.61,4.3,6.62,11.1,20.7,32.8,44.7,50,53.8
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#2#1.125#2,2,FL,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#2#1.125#2,2,Xt,0.655,0.581,0.52,0.559,0.552,0.529,0.653,0.801,0.903,0.899
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#2#1.125#2,2,Fd,0.07,0.09,0.11,0.13,0.18,0.23,0.3,0.37,0.44,0.5
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#3#1.125#2,3,Cv,2.11,3.11,4.58,6.76,10.7,20.7,34.3,48.3,61.5,71.6
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#3#1.125#2,3,FL,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#3#1.125#2,3,Xt,0.874,0.699,0.643,0.626,0.587,0.451,0.493,0.587,0.648,0.734
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#3#1.125#2,3,Fd,0.07,0.09,0.11,0.13,0.18,0.23,0.3,0.37,0.44,0.5
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#3#1.5#3,3,Cv,3.11,5.77,9.12,13.7,21.7,36,60.4,86.4,104,114
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#3#1.5#3,3,FL,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#3#1.5#3,3,Xt,0.619,0.595,0.598,0.619,0.594,0.563,0.586,0.729,0.778,0.781
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#3#1.5#3,3,Fd,0.06,0.08,0.1,0.12,0.16,0.2,0.26,0.33,0.4,0.46
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#4#1.125#2,4,Cv,1.96,3.05,4.43,6.98,11.9,22.3,36.7,50.9,61.8,72.7
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#4#1.125#2,4,FL,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#4#1.125#2,4,Xt,0.619,0.575,0.624,0.61,0.678,0.639,0.646,0.673,0.778,0.781
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#4#1.125#2,4,Fd,0.07,0.09,0.11,0.13,0.18,0.23,0.3,0.37,0.44,0.5
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#4#2#4,4,Cv,4.9,8.19,13.5,20.1,31.2,52.6,96.7,140,170,190
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#4#2#4,4,FL,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#4#2#4,4,Xt,0.594,0.573,0.56,0.568,0.572,0.564,0.532,0.707,0.807,0.834
globe#contour#equal#under#(150_300_600),globe#contour#equal#under#(150_300_600)#4#2#4,4,Fd,0.05,0.06,0.08,0.1,0.13,0.17,0.23,0.31,0.38,0.44
globe#contour#linear#under#(150_300_600),globe#contour#linear#under#(150_300_600)#1#0.75#1,1,Cv,2.21,3.87,5.29,6.56,8.2,9.82,11.1,12.1,13,13.6
globe#contour#linear#under#(150_300_600),globe#contour#linear#under#(150_300_600)#1#0.75#1,1,FL,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
globe#contour#linear#under#(150_300_600),globe#contour#linear#under#(150_300_600)#1#0.75#1,1,Xt,0.638,0.601,0.638,0.634,0.638,0.629,0.636,0.68,0.769,0.834
globe#contour#linear#under#(150_300_600),globe#contour#linear#under#(150_300_600)#1#0.75#1,1,Fd,0.13,0.18,0.23,0.28,0.31,0.35,0.4,0.45,0.53,0.56
globe#contour#linear#under#(150_300_600),globe#contour#linear#under#(150_300_600)#1.5#0.75#1,1.5,Cv,1.96,3.42,4.94,6.11,7.8,9.3,10.9,13,15.1,16.7
globe#contour#linear#under#(150_300_600),globe#contour#linear#under#(150_300_600)#1.5#0.75#1,1.5,FL,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
globe#contour#linear#under#(150_300_600),globe#contour#linear#under#(150_300_600)#1.5#0.75#1,1.5,Xt,0.469,0.578,0.6,0.69,0.652,0.655,0.637,0.625,0.719,0.796
globe#contour#linear#under#(150_300_600),globe#contour#linear#under#(150_300_600)#1.5#0.75#1,1.5,Fd,0.13,0.18,0.23,0.28,0.31,0.35,0.4,0.45,0.53,0.56
globe#contour#linear#under#(150_300_600),globe#contour#linear#under#(150_300_600)#1.5#0.75#1.5,1.5,Cv,3.99,7.53,11.1,14.8,18.7,22.5,25.8,29.2,31.2,31.9
globe#contour#linear#under#(150_300_600),globe#contour#linear#under#(150_300_600)#1.5#0.75#1.5,1.5,FL,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
globe#contour#linear#under#(150_300_600),globe#contour#linear#under#(150_300_600)#1.5#0.75#1.5,1.5,Xt,0.633,0.651,0.657,0.691,0.674,0.674,0.696,0.704,0.757,0.818
globe#contour#linear#under#(150_300_600),globe#contour#linear#under#(150_300_600)#1.5#0.75#1.5,1.5,Fd,0.13,0.19,0.24,0.28,0.32,0.36,0.4,0.44,0.49,0.52
globe#contour#linear#under#(150_300_600),globe#contour#linear#under#(150_300_600)#2#0.75#1,2,Cv,1.88,3.41,4.95,6.49,8.06,9.67,11.23,12.79,14.35,15.7
globe#contour#linear#under#(150_300_600),globe#contour#linear#under#(150_300_600)#2#0.75#1,2,FL,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94
globe#contour#linear#under#(150_300_600),globe#contour#linear#under#(150_300_600)#2#0.75#1,2,Xt,0.609,0.593,0.597,0.624,0.621,0.626,0.642,0.633,0.75,0.91
globe#contour#linear#under#(150_300_600),globe#contour#linear#under#(150_300_600)#2#0.75#1,2,Fd,0.13,0.18,0.23,0.28,0.31,0.35,0.4,0.45,0.53,0.56
globe#contour#linear#under#(150_300_600),globe#contour#linear#under#(150_300_600)#2#1.125#2,2,Cv,6.08,11.9,18,24.1,30.1,36.4,42.8,49.9,52,52.4
globe#contour#linear#under#(150_300_600),globe#contour#linear#under#(150_300_600)#2#1.125#2,2,FL,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
globe#contour#linear#under#(150_300_600),globe#contour#linear#under#(150_300_600)#2#1.125#2,2,Xt,0.56,0.644,0.655,0.675,0.701,0.724,0.779,0.773,0.862,0.924
globe#contour#linear#under#(150_300_600),globe#contour#linear#under#(150_300_600)#2#1.125#2,2,Fd,0.13,0.18,0.22,0.25,0.29,0.32,0.36,0.41,0.46,0.52
globe#contour#linear#under#(150_300_600),globe#contour#linear#under#(150_300_600)#3#1.125#2,3,Cv,6.59,13.3,20.7,28.1,36,44,55.6,67.5,76.2,80.4
globe#contour#linear#under#(150_300_600),globe#contour#linear#under#(150_300_600)#3#1.125#2,3,FL,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94
globe#contour#linear#under#(150_300_600),globe#contour#linear#under#(150_300_600)#3#1.125#2,3,Xt,0.564,0.5,0.522,0.609,0.577,0.594,0.563,0.582,0.677,0.749
globe#contour#linear#under#(150_300_600),globe#contour#linear#under#(150_300_600)#3#1.125#2,3,Fd,0.13,0.18,0.22,0.25,0.29,0.32,0.36,0.41,0.46,0.52
globe#contour#linear#under#(150_300_600),globe#contour#linear#under#(150_300_600)#3#1.5#3,3,Cv,15.4,29.6,43.4,58.3,71.8,83.9,93.8,103,108,110.4
globe#contour#linear#under#(150_300_600),globe#contour#linear#under#(150_300_600)#3#1.5#3,3,FL,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92
globe#contour#linear#under#(150_300_600),globe#contour#linear#under#(150_300_600)#3#1.5#3,3,Xt,0.622,0.642,0.692,0.691,0.69,0.721,0.759,0.788,0.839,0.888
globe#contour#linear#under#(150_300_600),globe#contour#linear#under#(150_300_600)#3#1.5#3,3,Fd,0.13,0.19,0.23,0.27,0.31,0.35,0.39,0.43,0.47,0.51
globe#contour#linear#under#(150_300_600),globe#contour#linear#under#(150_300_600)#4#1.125#2,4,Cv,6.16,12.8,20,27.8,36.1,45.1,58.8,67.5,78.8,86.8
globe#contour#linear#under#(150_300_600),globe#contour#linear#under#(150_300_600)#4#1.125#2,4,FL,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
globe#contour#linear#under#(150_300_600),globe#contour#linear#under#(150_300_600)#4#1.125#2,4,Xt,0.74,0.644,0.642,0.619,0.602,0.605,0.552,0.614,0.644,0.736
globe#contour#linear#under#(150_300_600),globe#contour#linear#under#(150_300_600)#4#1.125#2,4,Fd,0.13,0.18,0.22,0.25,0.29,0.32,0.36,0.41,0.46,0.52
globe#contour#linear#under#(150_300_600),globe#contour#linear#under#(150_300_600)#4#2#4,4,Cv,21.3,39.7,57.5,75.8,100,129,157,180,199,209
globe#contour#linear#under#(150_300_600),globe#contour#linear#under#(150_300_600)#4#2#4,4,FL,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
globe#contour#linear#under#(150_300_600),globe#contour#linear#under#(150_300_600)#4#2#4,4,Xt,0.622,0.642,0.692,0.691,0.69,0.721,0.759,0.788,0.839,0.888
globe#contour#linear#under#(150_300_600),globe#contour#linear#under#(150_300_600)#4#2#4,4,Fd,0.11,0.15,0.19,0.22,0.26,0.29,0.33,0.38,0.44,0.49
globe#ported#equal#over#(150_300_600),globe#ported#equal#over#(150_300_600)#1#0.75#1.3125,1,Cv,0.783,1.54,2.2,2.89,4.21,5.76,7.83,10.9,14.1,17.2
globe#ported#equal#over#(150_300_600),globe#ported#equal#over#(150_300_600)#1#0.75#1.3125,1,FL,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88
globe#ported#equal#over#(150_300_600),globe#ported#equal#over#(150_300_600)#1#0.75#1.3125,1,Xt,0.766,0.614,0.587,0.667,0.672,0.687,0.743,0.76,0.733,0.667
globe#ported#equal#over#(150_300_600),globe#ported#equal#over#(150_300_600)#1#0.75#1.3125,1,Fd,0.22,0.77,0.9,0.93,0.92,0.59,0.44,0.41,0.39,0.44
globe#ported#equal#over#(150_300_600),globe#ported#equal#over#(150_300_600)#1.5#0.75#1.3125,1.5,Cv,1.12,1.56,2.22,3.1,4.27,6.17,9.01,13.1,18.2,23.1
globe#ported#equal#over#(150_300_600),globe#ported#equal#over#(150_300_600)#1.5#0.75#1.3125,1.5,FL,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
globe#ported#equal#over#(150_300_600),globe#ported#equal#over#(150_300_600)#1.5#0.75#1.3125,1.5,Xt,0.821,0.864,0.82,0.703,0.721,0.679,0.665,0.639,0.65,0.7
globe#ported#equal#over#(150_300_600),globe#ported#equal#over#(150_300_600)#1.5#0.75#1.3125,1.5,Fd,0.22,0.77,0.9,0.93,0.92,0.59,0.44,0.41,0.39,0.44
globe#ported#equal#over#(150_300_600),globe#ported#equal#over#(150_300_600)#1.5#0.75#1.875,1.5,Cv,1.52,2.63,3.87,5.41,7.45,11.2,17.4,24.5,30.8,35.8
globe#ported#equal#over#(150_300_600),globe#ported#equal#over#(150_300_600)#1.5#0.75#1.875,1.5,FL,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84
globe#ported#equal#over#(150_300_600),globe#ported#equal#over#(150_300_600)#1.5#0.75#1.875,1.5,Xt,0.708,0.735,0.716,0.715,0.738,0.727,0.69,0.685,0.685,0.679
globe#ported#equal#over#(150_300_600),globe#ported#equal#over#(150_300_600)#1.5#0.75#1.875,1.5,Fd,0.63,0.63,0.64,0.64,0.46,0.45,0.3,0.31,0.35,0.38
globe#ported#equal#over#(150_300_600),globe#ported#equal#over#(150_300_600)#2#0.75#1.3125,2,Cv,0.923,1.42,2.09,2.84,4.11,5.83,8.58,12.8,18.5,24.3
globe#ported#equal#over#(150_300_600),globe#ported#equal#over#(150_300_600)#2#0.75#1.3125,2,FL,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88
globe#ported#equal#over#(150_300_600),globe#ported#equal#over#(150_300_600)#2#0.75#1.3125,2,Xt,0.775,0.744,0.742,0.707,0.715,0.714,0.714,0.641,0.621,0.649
globe#ported#equal#over#(150_300_600),globe#ported#equal#over#(150_300_600)#2#0.75#1.3125,2,Fd,0.22,0.77,0.9,0.93,0.92,0.59,0.44,0.41,0.39,0.44
globe#ported#equal#over#(150_300_600),globe#ported#equal#over#(150_300_600)#2#1.125#2.3125,2,Cv,1.66,2.93,4.66,6.98,10.8,16.5,25.4,37.3,50.7,59.7
globe#ported#equal#over#(150_300_600),globe#ported#equal#over#(150_300_600)#2#1.125#2.3125,2,FL,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
globe#ported#equal#over#(150_300_600),globe#ported#equal#over#(150_300_600)#2#1.125#2.3125,2,Xt,0.827,0.834,0.774,0.727,0.687,0.684,0.702,0.736,0.686,0.687
globe#ported#equal#over#(150_300_600),globe#ported#equal#over#(150_300_600)#2#1.125#2.3125,2,Fd,0.4,0.51,0.53,0.58,0.37,0.32,0.27,0.26,0.29,0.31
globe#ported#equal#over#(150_300_600),globe#ported#equal#over#(150_300_600)#3#1.125#2.3125,3,Cv,1.75,3.11,4.77,7.07,10.7,17,27.9,41.5,58,70.7
globe#ported#equal#over#(150_300_600),globe#ported#equal#over#(150_300_600)#3#1.125#2.3125,3,FL,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87
globe#ported#equal#over#(150_300_600),globe#ported#equal#over#(150_300_600)#3#1.125#2.3125,3,Xt,0.944,0.84,0.803,0.757,0.735,0.642,0.531,0.613,0.629,0.702
globe#ported#equal#over#(150_300_600),globe#ported#equal#over#(150_300_600)#3#1.125#2.3125,3,Fd,0.4,0.51,0.53,0.58,0.37,0.32,0.27,0.26,0.29,0.31
