Actuator Type,Fail Action,Stem Dia,Yoke Boss dia,Actuator size,Effective Area,Travel,sMin,sMax,Spring Rate,V0,Vm,,,
sd,AFC,0.75,3.5625,300,300,2.25,6,18,1600,255,930,,,
sd,AFC,0.75,3.5625,300,300,2.25,8,32,3200,255,930,,,
sd,AFC,0.75,3.5625,300,300,2.25,16,32,2133,255,930,,,
sd,AFC,0.75,3.5625,310,300,2.25,27,40,1733,255,930,,,
sd,AFC,0.75,3.5625,300,300,2.5,6,18,1440,255,1005,,,
sd,AFC,0.75,3.5625,300,300,2.5,8,32,2880,255,1005,,,
sd,AFC,0.75,3.5625,300,300,2.5,16,32,1920,255,1005,,,
sd,AFC,0.75,3.5625,300,300,3.5,6,18,1029,255,1305,,,
sd,AFC,0.75,3.5625,300,300,3.5,8,32,2057,255,1305,,,
sd,AFC,0.75,3.5625,300,300,3.5,11,32,1800,255,1305,,,
sd,AFC,0.75,3.5625,310,300,3.5,20,40,1714,255,1305,,,
sd,AFC,0.75,3.5625,300,300,4,6,18,900,255,1455,,,
sd,AFC,0.75,3.5625,300,300,4,8,32,1800,255,1455,,,
sd,AFC,0.75,3.5625,300,300,4,11,32,1575,255,1455,,,
sd,AFC,0.75,3.5625,310,300,4,20,40,1500,255,1455,,,
msd,AFO,0.5,2.8125,6,60,0.75,3,15,960,30,75,,,
msd,AFO,0.5,2.8125,6,60,0.75,6,30,1920,30,75,,,
msd,AFO,0.5,2.8125,6,60,0.75,11,23,960,30,75,,,
msd,AFO,0.5,2.8125,6,60,0.75,21,45,1920,30,75,,,
msd,AFO,0.5,2.8125,10,100,0.75,3,15,1600,50,125,,,
msd,AFO,0.5,2.8125,10,100,0.75,6,30,3200,50,125,,,
msd,AFO,0.5,2.8125,10,100,0.75,11,23,1600,50,125,,,
msd,AFO,0.5,2.8125,10,100,0.75,21,45,3200,50,125,,,
msd,AFO,0.5,2.8125,10,100,1.125,3,15,1067,50,163,,,
msd,AFO,0.5,2.8125,10,100,1.125,6,30,2133,50,163,,,
msd,AFO,0.5,2.8125,10,100,1.125,11,23,1067,50,163,,,
msd,AFO,0.5,2.8125,10,100,1.125,21,45,2133,50,163,,,
msd,AFO,0.75,3.5625,10,100,1.125,3,15,1067,50,163,,,
msd,AFO,0.75,3.5625,10,100,1.125,6,30,2133,50,163,,,
msd,AFO,0.75,3.5625,10,100,1.125,11,23,1067,50,163,,,
msd,AFO,0.75,3.5625,10,100,1.125,21,45,2133,50,163,,,
msd,AFO,0.75,3.5625,10,100,1.5,3,15,800,50,200,,,
msd,AFO,0.75,3.5625,10,100,1.5,6,30,1600,50,200,,,
msd,AFO,0.75,3.5625,10,100,1.5,11,23,800,50,200,,,
msd,AFO,0.75,3.5625,10,100,1.5,21,45,1600,50,200,,,
msd,AFO,0.5,2.8125,16,160,0.75,3,15,2560,80,200,,,
msd,AFO,0.5,2.8125,16,160,0.75,6,30,5120,80,200,,,
msd,AFO,0.5,2.8125,16,160,0.75,11,23,2560,80,200,,,
msd,AFO,0.5,2.8125,16,160,0.75,21,45,5120,80,200,,,
msd,AFO,0.5,2.8125,16,160,1.125,3,15,1707,80,260,,,
msd,AFO,0.5,2.8125,16,160,1.125,6,30,3413,80,260,,,
msd,AFO,0.5,2.8125,16,160,1.125,11,23,1707,80,260,,,
msd,AFO,0.5,2.8125,16,160,1.125,21,45,3413,80,260,,,
msd,AFO,0.75,3.5625,16,160,1.125,3,15,1707,80,260,,,
msd,AFO,0.75,3.5625,16,160,1.125,6,30,3413,80,260,,,
msd,AFO,0.75,3.5625,16,160,1.125,11,23,1707,80,260,,,
msd,AFO,0.75,3.5625,16,160,1.125,21,45,3413,80,260,,,
msd,AFO,0.75,3.5625,16,160,1.5,3,15,1280,80,320,,,
msd,AFO,0.75,3.5625,16,160,1.5,6,30,2560,80,320,,,
msd,AFO,0.75,3.5625,16,160,1.5,11,23,1280,80,320,,,
msd,AFO,0.75,3.5625,16,160,1.5,21,45,2560,80,320,,,
msd,AFO,0.75,3.5625,16,160,2,3,15,960,80,400,,,
msd,AFO,0.75,3.5625,16,160,2,6,30,1920,80,400,,,
msd,AFO,0.75,3.5625,16,160,2,11,23,960,80,400,,,
msd,AFO,0.75,3.5625,16,160,2,21,45,1920,80,400,,,
msd,AFO,0.75,3.5625,16,160,2.5,3,15,768,80,480,,,
msd,AFO,0.75,3.5625,16,160,2.5,6,30,1536,80,480,,,
msd,AFO,0.75,3.5625,16,160,2.5,11,23,768,80,480,,,
msd,AFO,0.75,3.5625,16,160,2.5,21,45,1536,80,480,,,
msd,AFO,0.75,3.5625,23,230,0.75,3,15,3680,115,288,,,
msd,AFO,0.75,3.5625,23,230,0.75,6,30,7360,115,288,,,
msd,AFO,0.75,3.5625,23,230,0.75,11,23,3680,115,288,,,
msd,AFO,0.75,3.5625,23,230,0.75,21,45,7360,115,288,,,
msd,AFO,0.75,3.5625,23,230,1.5,3,15,1840,115,460,,,
msd,AFO,0.75,3.5625,23,230,1.5,6,30,3680,115,460,,,
msd,AFO,0.75,3.5625,23,230,1.5,11,23,1840,115,460,,,
msd,AFO,0.75,3.5625,23,230,1.5,21,45,3680,115,460,,,
msd,AFO,0.75,3.5625,23,230,2,3,15,1380,115,575,,,
msd,AFO,0.75,3.5625,23,230,2,6,30,2760,115,575,,,
msd,AFO,0.75,3.5625,23,230,2,11,23,1380,115,575,,,
msd,AFO,0.75,3.5625,23,230,2,21,45,2760,115,575,,,
msd,AFO,0.75,3.5625,23,230,2.5,3,15,1104,115,690,,,
msd,AFO,0.75,3.5625,23,230,2.5,6,30,2208,115,690,,,
msd,AFO,0.75,3.5625,23,230,2.5,11,23,1104,115,690,,,
msd,AFO,0.75,3.5625,23,230,2.5,21,45,2208,115,690,,,
msd,AFO,0.75,3.5625,25,230,3,6,24,1380,138,828,,,
msd,AFO,0.75,3.5625,25,230,3.5,6,27,1380,138,943,,,
msd,AFO,0.75,3.5625,25,230,4,3,15,690,138,1058,,,
msd,AFO,0.75,3.5625,25,230,4,6,30,1380,138,1058,,,
msd,AFO,0.75,3.5625,25,230,4,11,23,690,138,1058,,,
msd,AFO,0.75,3.5625,25,230,4,23,45,1265,138,1058,,,
msd,AFC,0.5,2.8125,6,60,0.75,3,15,960,30,75,,,
msd,AFC,0.5,2.8125,6,60,0.75,6,30,1920,30,75,,,
msd,AFC,0.5,2.8125,6,60,0.75,11,23,960,30,75,,,
msd,AFC,0.5,2.8125,6,60,0.75,21,45,1920,30,75,,,
msd,AFC,0.5,2.8125,10,100,0.75,3,15,1600,50,125,,,
msd,AFC,0.5,2.8125,10,100,0.75,6,30,3200,50,125,,,
msd,AFC,0.5,2.8125,10,100,0.75,11,23,1600,50,125,,,
msd,AFC,0.5,2.8125,10,100,0.75,21,45,3200,50,125,,,
msd,AFC,0.5,2.8125,10,100,1.125,3,15,1067,50,163,,,
msd,AFC,0.5,2.8125,10,100,1.125,6,30,2133,50,163,,,
msd,AFC,0.5,2.8125,10,100,1.125,11,23,1067,50,163,,,
msd,AFC,0.5,2.8125,10,100,1.125,21,45,2133,50,163,,,
msd,AFC,0.75,3.5625,10,100,1.125,3,15,1067,50,163,,,
msd,AFC,0.75,3.5625,10,100,1.125,6,30,2133,50,163,,,
msd,AFC,0.75,3.5625,10,100,1.125,11,23,1067,50,163,,,
msd,AFC,0.75,3.5625,10,100,1.125,21,45,2133,50,163,,,
msd,AFC,0.75,3.5625,10,100,1.5,3,15,800,50,200,,,
msd,AFC,0.75,3.5625,10,100,1.5,6,30,1600,50,200,,,
msd,AFC,0.75,3.5625,10,100,1.5,11,23,800,50,200,,,
msd,AFC,0.75,3.5625,10,100,1.5,21,45,1600,50,200,,,
msd,AFC,0.5,2.8125,16,160,0.75,3,15,2560,80,200,,,
msd,AFC,0.5,2.8125,16,160,0.75,6,30,5120,80,200,,,
msd,AFC,0.5,2.8125,16,160,0.75,11,23,2560,80,200,,,
msd,AFC,0.5,2.8125,16,160,0.75,21,45,5120,80,200,,,
msd,AFC,0.75,3.5625,16,160,0.75,3,15,2560,80,200,,,
msd,AFC,0.75,3.5625,16,160,0.75,6,30,5120,80,200,,,
msd,AFC,0.75,3.5625,16,160,0.75,11,23,2560,80,200,,,
msd,AFC,0.75,3.5625,16,160,0.75,21,45,5120,80,200,,,
msd,AFC,0.5,2.8125,16,160,1.125,3,15,1707,80,260,,,
msd,AFC,0.5,2.8125,16,160,1.125,6,30,3413,80,260,,,
msd,AFC,0.5,2.8125,16,160,1.125,11,23,1707,80,260,,,
msd,AFC,0.5,2.8125,16,160,1.125,21,45,3413,80,260,,,
msd,AFC,0.75,3.5625,16,160,1.125,3,15,1707,80,260,,,
msd,AFC,0.75,3.5625,16,160,1.125,6,30,3413,80,260,,,
msd,AFC,0.75,3.5625,16,160,1.125,11,23,1707,80,260,,,
msd,AFC,0.75,3.5625,16,160,1.125,21,45,3413,80,260,,,
msd,AFC,0.75,3.5625,16,160,1.5,3,15,1280,80,320,,,
msd,AFC,0.75,3.5625,16,160,1.5,6,30,2560,80,320,,,
msd,AFC,0.75,3.5625,16,160,1.5,11,23,1280,80,320,,,
msd,AFC,0.75,3.5625,16,160,1.5,21,45,2560,80,320,,,
msd,AFC,0.75,3.5625,16,160,2,3,15,960,80,400,,,
msd,AFC,0.75,3.5625,16,160,2,6,30,1920,80,400,,,
msd,AFC,0.75,3.5625,16,160,2,11,23,960,80,400,,,
msd,AFC,0.75,3.5625,16,160,2,21,45,1920,80,400,,,
msd,AFC,0.75,3.5625,16,160,2.5,3,15,768,80,480,,,
msd,AFC,0.75,3.5625,16,160,2.5,6,30,1536,80,480,,,
msd,AFC,0.75,3.5625,16,160,2.5,11,23,768,80,480,,,
msd,AFC,0.75,3.5625,16,160,2.5,21,45,1536,80,480,,,
msd,AFC,0.75,3.5625,23,230,0.75,3,15,3680,115,287,,,
msd,AFC,0.75,3.5625,23,230,0.75,6,30,7360,115,287,,,
msd,AFC,0.75,3.5625,23,230,0.75,11,23,3680,115,287,,,
msd,AFC,0.75,3.5625,23,230,0.75,21,45,7360,115,287,,,
msd,AFC,0.75,3.5625,23,230,1.5,3,15,1840,115,460,,,
msd,AFC,0.75,3.5625,23,230,1.5,6,30,3680,115,460,,,
msd,AFC,0.75,3.5625,23,230,1.5,11,23,1840,115,460,,,
msd,AFC,0.75,3.5625,23,230,1.5,21,45,3680,115,460,,,
msd,AFC,0.75,3.5625,23,230,2,3,15,1380,115,575,,,
msd,AFC,0.75,3.5625,23,230,2,6,30,2760,115,575,,,
msd,AFC,0.75,3.5625,23,230,2,11,23,1380,115,575,,,
msd,AFC,0.75,3.5625,23,230,2,21,45,2760,115,575,,,
msd,AFC,0.75,3.5625,23,230,2.5,3,15,1104,115,690,,,
msd,AFC,0.75,3.5625,23,230,2.5,6,30,2208,115,690,,,
msd,AFC,0.75,3.5625,23,230,2.5,11,23,1104,115,690,,,
msd,AFC,0.75,3.5625,23,230,2.5,21,45,2208,115,690,,,
msd,AFC,0.75,3.5625,25,230,3,12,30,1380,138,828,,,
msd,AFC,0.75,3.5625,25,230,3,27,45,1380,138,828,,,
msd,AFC,0.75,3.5625,25,230,3.5,9,30,1380,138,943,,,
msd,AFC,0.75,3.5625,25,230,3.5,24,45,1380,138,943,,,
msd,AFC,0.75,3.5625,25,230,4,3,15,690,138,1058,,,
msd,AFC,0.75,3.5625,25,230,4,6,30,1380,138,1058,,,
msd,AFC,0.75,3.5625,25,230,4,11,23,690,138,1058,,,
msd,AFC,0.75,3.5625,25,230,4,21,45,1380,138,1058,,,
