Sl. No.,Std / Spl,SOV Make,SOV Series,Size,SOV Type,SOV Orifice,SOV CV,Model No (1)
1,Std,Rotex,30308,1/4,3/2 way,5,0.7,30308-SL-5-2R-S2G+III-24DC-39-CO-H-SL
2,Std,Rotex,30334,1/4,3/2 way,5,0.7,30334-SL-5-2R-S2G+III-24DC-39-CO-H-SL
3,Std,Rotex,P3017,1/4,3/2 way,5,0.7,P3017V01 SL-5-2R-B5-IV+24VDC-37-LW 1.8-H-SL
4,Std,Rotex,P3017,1/4,3/2 way,5,0.54,P3017V01-SL-5-2R-B5-S2-M6-A4+IV-24VDC-62NS-CO-H-SL 
5,Spl,ASCO,327,1/4,3/2 way,5.7,0.52,"WSNFET,8327B202,230V AC / 50/60 Hz"
6,Spl,ASCO,327,1/4,3/2 way,5.7,0.52,"WSNFET,8327B102,24V DC"
7,Spl,ASCO,327,1/4,3/2 way,5.7,0.52,"WSNFET,8327B102,127V AC / 50/60 Hz"
8,Spl,ASCO,327,1/4,3/2 way,5.7,0.52,"WSNFISET,8327B302,24V DC"
9,Spl,ASCO,327,1/4,3/2 way,5.7,0.52,"NFET,8327B002,24V DC"
10,Spl,Asco,327,1/4,3/2 way,5.7,0.52,"NFET8327B122,24 V DC"
11,Spl,ASCO,320,1/4,3/2 way,2.4,0.12,"WP,8320A200,24V DC"
