Valve Type,FCC Model ,Trim Type,Flow Char,Flow Dir,Unbal. / Bal.,Rating,Valve Size,Seat Bore ,Travel,Co-efficients,10,20,30,40,50,60,70,80,90,100,P_ID,P_ID2,
butterfly,20,do,mod_equal,down,N/A,150,16,16,90,Cv,309,699,1135,1773,2630,3771,6087,7371,7836,7836,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#16#90#16,
butterfly,20,do,mod_equal,down,N/A,150,16,16,90,FL,0.77,0.79,0.81,0.81,0.78,0.73,0.68,0.6,0.52,0.52,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#16#90#16,
butterfly,20,do,mod_equal,down,N/A,150,16,16,90,Xt,0.5,0.53,0.55,0.55,0.51,0.45,0.39,0.3,0.23,0.23,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#16#90#16,
butterfly,20,do,mod_equal,down,N/A,150,16,16,90,Fd,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7,0.7,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#16#90#16,
butterfly,20,do,mod_equal,down,N/A,150,18,18,90,Cv,402,933,1580,2382,3720,4553,7604,9289,9860,9860,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#18#90#18,
butterfly,20,do,mod_equal,down,N/A,150,18,18,90,FL,0.77,0.79,0.81,0.81,0.78,0.73,0.68,0.6,0.52,0.52,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#18#90#18,
butterfly,20,do,mod_equal,down,N/A,150,18,18,90,Xt,0.5,0.53,0.55,0.55,0.51,0.45,0.39,0.3,0.23,0.23,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#18#90#18,
butterfly,20,do,mod_equal,down,N/A,150,18,18,90,Fd,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7,0.7,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#18#90#18,
butterfly,20,do,mod_equal,down,N/A,150,20,20,90,Cv,492,1118,1766,2705,4037,5893,9854,12302,13066,13066,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#20#90#20,
butterfly,20,do,mod_equal,down,N/A,150,20,20,90,FL,0.77,0.79,0.81,0.81,0.78,0.73,0.68,0.6,0.52,0.52,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#20#90#20,
butterfly,20,do,mod_equal,down,N/A,150,20,20,90,Xt,0.5,0.53,0.55,0.55,0.51,0.45,0.39,0.3,0.23,0.23,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#20#90#20,
butterfly,20,do,mod_equal,down,N/A,150,20,20,90,Fd,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7,0.7,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#20#90#20,
butterfly,20,do,mod_equal,down,N/A,150,24,24,90,Cv,716,1466,2361,3692,5545,8215,14305,18042,19780,19780,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#24#90#24,
butterfly,20,do,mod_equal,down,N/A,150,24,24,90,FL,0.77,0.79,0.81,0.81,0.78,0.73,0.68,0.6,0.52,0.52,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#24#90#24,
butterfly,20,do,mod_equal,down,N/A,150,24,24,90,Xt,0.5,0.53,0.55,0.55,0.51,0.45,0.39,0.3,0.23,0.23,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#24#90#24,
butterfly,20,do,mod_equal,down,N/A,150,24,24,90,Fd,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7,0.7,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#24#90#24,
butterfly,20,do,mod_equal,down,N/A,150,30,30,90,Cv,1112,2176,3573,5681,8620,12940,24128,31659,34880,34880,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#30#90#30,
butterfly,20,do,mod_equal,down,N/A,150,30,30,90,FL,0.77,0.79,0.81,0.81,0.78,0.73,0.68,0.6,0.52,0.52,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#30#90#30,
butterfly,20,do,mod_equal,down,N/A,150,30,30,90,Xt,0.5,0.53,0.55,0.55,0.51,0.45,0.39,0.3,0.23,0.23,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#30#90#30,
butterfly,20,do,mod_equal,down,N/A,150,30,30,90,Fd,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7,0.7,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#30#90#30,
butterfly,20,do,mod_equal,down,N/A,150,36,36,90,Cv,1625,3116,5112,8183,12522,18680,32023,40630,44371,44371,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#36#90#36,
butterfly,20,do,mod_equal,down,N/A,150,36,36,90,FL,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7,0.7,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#36#90#36,
butterfly,20,do,mod_equal,down,N/A,150,36,36,90,Xt,0.5,0.53,0.55,0.55,0.51,0.45,0.39,0.3,0.23,0.23,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#36#90#36,
butterfly,20,do,mod_equal,down,N/A,150,36,36,90,Fd,0.77,0.79,0.81,0.81,0.78,0.73,0.68,0.6,0.52,0.52,butterfly#do#mod_equal#down#150,butterfly#do#mod_equal#down#150#36#90#36,
butterfly,20,do,mod_equal,down,N/A,300,3,3,90,Cv,3,8,11,44,64,98,128,150,157,157,butterfly#do#mod_equal#down#300,butterfly#do#mod_equal#down#300#3#90#3,
butterfly,20,do,mod_equal,down,N/A,300,3,3,90,FL,0.71,0.75,0.77,0.81,0.79,0.71,0.62,0.49,0.59,0.59,butterfly#do#mod_equal#down#300,butterfly#do#mod_equal#down#300#3#90#3,
butterfly,20,do,mod_equal,down,N/A,300,3,3,90,Xt,0.275,0.33,0.481,0.516,0.487,0.361,0.275,0.19,0.231,0.231,butterfly#do#mod_equal#down#300,butterfly#do#mod_equal#down#300#3#90#3,
butterfly,20,do,mod_equal,down,N/A,300,3,3,90,Fd,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7,0.7,butterfly#do#mod_equal#down#300,butterfly#do#mod_equal#down#300#3#90#3,
butterfly,20,do,mod_equal,down,N/A,300,4,4,90,Cv,5,29,43,67,90,143,200,257,285,285,butterfly#do#mod_equal#down#300,butterfly#do#mod_equal#down#300#4#90#4,
butterfly,20,do,mod_equal,down,N/A,300,4,4,90,FL,0.74,0.8,0.82,0.8,0.77,0.69,0.57,0.51,0.55,0.55,butterfly#do#mod_equal#down#300,butterfly#do#mod_equal#down#300#4#90#4,
butterfly,20,do,mod_equal,down,N/A,300,4,4,90,Xt,0.455,0.499,0.416,0.395,0.41,0.363,0.292,0.235,0.21,0.21,butterfly#do#mod_equal#down#300,butterfly#do#mod_equal#down#300#4#90#4,
butterfly,20,do,mod_equal,down,N/A,300,4,4,90,Fd,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7,0.7,butterfly#do#mod_equal#down#300,butterfly#do#mod_equal#down#300#4#90#4,
butterfly,20,do,mod_equal,down,N/A,300,6,6,90,Cv,40,112,198,295,414,548,737,814,839,839,butterfly#do#mod_equal#down#300,butterfly#do#mod_equal#down#300#6#90#6,
butterfly,20,do,mod_equal,down,N/A,300,6,6,90,FL,0.78,0.81,0.79,0.8,0.74,0.68,0.59,0.58,0.57,0.57,butterfly#do#mod_equal#down#300,butterfly#do#mod_equal#down#300#6#90#6,
butterfly,20,do,mod_equal,down,N/A,300,6,6,90,Xt,0.42,0.433,0.434,0.369,0.36,0.299,0.282,0.214,0.205,0.205,butterfly#do#mod_equal#down#300,butterfly#do#mod_equal#down#300#6#90#6,
butterfly,20,do,mod_equal,down,N/A,300,6,6,90,Fd,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7,0.7,butterfly#do#mod_equal#down#300,butterfly#do#mod_equal#down#300#6#90#6,
butterfly,20,do,mod_equal,down,N/A,300,8,8,90,Cv,84,210,332,491,700,948,1323,1475,1537,1537,butterfly#do#mod_equal#down#300,butterfly#do#mod_equal#down#300#8#90#8,
butterfly,20,do,mod_equal,down,N/A,300,8,8,90,FL,0.8,0.83,0.83,0.8,0.74,0.66,0.58,0.5,0.48,0.48,butterfly#do#mod_equal#down#300,butterfly#do#mod_equal#down#300#8#90#8,
butterfly,20,do,mod_equal,down,N/A,300,8,8,90,Xt,0.405,0.454,0.542,0.451,0.346,0.269,0.239,0.206,0.173,0.173,butterfly#do#mod_equal#down#300,butterfly#do#mod_equal#down#300#8#90#8,
butterfly,20,do,mod_equal,down,N/A,300,8,8,90,Fd,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7,0.7,butterfly#do#mod_equal#down#300,butterfly#do#mod_equal#down#300#8#90#8,
butterfly,20,do,mod_equal,down,N/A,300,10,10,90,Cv,134,330,521,782,1122,1538,2316,2722,2840,2840,butterfly#do#mod_equal#down#300,butterfly#do#mod_equal#down#300#10#90#10,
butterfly,20,do,mod_equal,down,N/A,300,10,10,90,FL,0.8,0.83,0.83,0.8,0.74,0.66,0.58,0.5,0.48,0.48,butterfly#do#mod_equal#down#300,butterfly#do#mod_equal#down#300#10#90#10,
butterfly,20,do,mod_equal,down,N/A,300,10,10,90,Xt,0.505,0.714,0.672,0.557,0.465,0.339,0.243,0.187,0.155,0.155,butterfly#do#mod_equal#down#300,butterfly#do#mod_equal#down#300#10#90#10,
butterfly,20,do,mod_equal,down,N/A,300,10,10,90,Fd,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7,0.7,butterfly#do#mod_equal#down#300,butterfly#do#mod_equal#down#300#10#90#10,
butterfly,20,do,mod_equal,down,N/A,300,12,12,90,Cv,201,457,727,1096,1595,2217,3270,3981,4116,4116,butterfly#do#mod_equal#down#300,butterfly#do#mod_equal#down#300#12#90#12,
