P_ID,P_ID2,Valve Size,Co-efficients,10,20,30,40,50,60,70,80,90,100
globe#contour#equal#under#1500,globe#contour#equal#under#1500#2#0.75#0.75,2,Xt,0.74,0.64,0.578,0.589,0.636,0.648,0.612,0.589,0.636,0.718
globe#contour#equal#under#1500,globe#contour#equal#under#1500#2#0.75#0.75,2,Fd,1,1,1,1,1,1,1,1,1,1
globe#contour#equal#under#2500,globe#contour#equal#under#2500#1#0.75#0.25,1,Cv,0.072,0.102,0.138,0.209,0.309,0.438,0.63,0.894,1.22,1.61
globe#contour#equal#under#2500,globe#contour#equal#under#2500#1#0.75#0.25,1,FL,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
globe#contour#equal#under#2500,globe#contour#equal#under#2500#1#0.75#0.25,1,Xt,0.972,0.971,0.986,0.792,0.668,0.611,0.611,0.609,0.606,0.61
globe#contour#equal#under#2500,globe#contour#equal#under#2500#1#0.75#0.25,1,Fd,1,1,1,1,1,1,1,1,1,1
globe#contour#equal#under#2500,globe#contour#equal#under#2500#1#0.75#0.5,1,Cv,0.269,0.404,0.555,0.738,1.03,1.52,2.18,3.1,4.23,5.39
globe#contour#equal#under#2500,globe#contour#equal#under#2500#1#0.75#0.5,1,FL,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97
globe#contour#equal#under#2500,globe#contour#equal#under#2500#1#0.75#0.5,1,Xt,0.789,0.708,0.702,0.65,0.626,0.572,0.583,0.606,0.646,0.713
globe#contour#equal#under#2500,globe#contour#equal#under#2500#1#0.75#0.5,1,Fd,1,1,1,1,1,1,1,1,1,1
globe#contour#equal#under#2500,globe#contour#equal#under#2500#1#0.75#0.75,1,Cv,0.384,0.577,0.941,1.39,2.02,2.93,4.4,6.58,8.45,9.61
globe#contour#equal#under#2500,globe#contour#equal#under#2500#1#0.75#0.75,1,FL,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
globe#contour#equal#under#2500,globe#contour#equal#under#2500#1#0.75#0.75,1,Xt,0.532,0.774,0.714,0.587,0.579,0.584,0.588,0.607,0.672,0.773
globe#contour#equal#under#2500,globe#contour#equal#under#2500#1#0.75#0.75,1,Fd,1,1,1,1,1,1,1,1,1,1
globe#contour#equal#under#2500,globe#contour#equal#under#2500#2#0.75#0.25,2,Cv,0.072,0.102,0.138,0.209,0.309,0.438,0.63,0.894,1.22,1.61
globe#contour#equal#under#2500,globe#contour#equal#under#2500#2#0.75#0.25,2,FL,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
globe#contour#equal#under#2500,globe#contour#equal#under#2500#2#0.75#0.25,2,Xt,0.972,0.971,0.986,0.792,0.668,0.611,0.611,0.609,0.606,0.61
globe#contour#equal#under#2500,globe#contour#equal#under#2500#2#0.75#0.25,2,Fd,1,1,1,1,1,1,1,1,1,1
globe#contour#equal#under#2500,globe#contour#equal#under#2500#2#0.75#0.5,2,Cv,0.269,0.404,0.555,0.738,1.03,1.52,2.18,3.1,4.23,5.39
globe#contour#equal#under#2500,globe#contour#equal#under#2500#2#0.75#0.5,2,FL,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97
globe#contour#equal#under#2500,globe#contour#equal#under#2500#2#0.75#0.5,2,Xt,0.789,0.708,0.702,0.65,0.626,0.572,0.583,0.606,0.646,0.713
globe#contour#equal#under#2500,globe#contour#equal#under#2500#2#0.75#0.5,2,Fd,1,1,1,1,1,1,1,1,1,1
globe#contour#equal#under#2500,globe#contour#equal#under#2500#2#0.75#0.75,2,Cv,0.45,0.713,1.07,1.52,2.12,3.05,4.57,6.87,9.66,11.9
globe#contour#equal#under#2500,globe#contour#equal#under#2500#2#0.75#0.75,2,FL,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93
globe#contour#equal#under#2500,globe#contour#equal#under#2500#2#0.75#0.75,2,Xt,0.74,0.64,0.578,0.589,0.636,0.648,0.612,0.589,0.636,0.718
